code,name,building,sourceFile,imageUrl
p-bank-b-admin-02,하나은행,행정동,하나은행 명지대학교점.jpg,https://thingo.kr/static/images/map/p-bank-b-admin-02.jpg
p-bank-b-student-01,새마을금고,학생회관,명지 새마을금고.jpg,https://thingo.kr/static/images/map/p-bank-b-student-01.jpg
p-cafe-b-mcc-01,매머드커피,MCC,매머드커피.jpg,https://thingo.kr/static/images/map/p-cafe-b-mcc-01.jpg
p-cafe-b-mcc-02,스타벅스,MCC,스타벅스.jpg,https://thingo.kr/static/images/map/p-cafe-b-mcc-02.jpg
p-cafe-b-mcc-03,베이커리 랩,MCC,베이커리랩.jpg,https://thingo.kr/static/images/map/p-cafe-b-mcc-03.jpg
p-cafeteria-b-student-01,학생식당,학생회관,학생식당.jpg,https://thingo.kr/static/images/map/p-cafeteria-b-student-01.jpg
p-club-room-b-intl-35,씨네메이션,국제관,씨네메이션 동아리.jpg,https://thingo.kr/static/images/map/p-club-room-b-intl-35.jpg
p-club-room-b-intl-36,CCC,국제관,CCC동아리.jpg,https://thingo.kr/static/images/map/p-club-room-b-intl-36.jpg
p-club-room-b-student-01,파인,학생회관,파인.jpg,https://thingo.kr/static/images/map/p-club-room-b-student-01.jpg
p-club-room-b-student-02,인해극단,학생회관,인해극단.jpg,https://thingo.kr/static/images/map/p-club-room-b-student-02.jpg
p-club-room-b-student-03,화이트홀스,학생회관,화이트홀스.jpg,https://thingo.kr/static/images/map/p-club-room-b-student-03.jpg
p-club-room-b-student-04,디비전,학생회관,디비전.jpg,https://thingo.kr/static/images/map/p-club-room-b-student-04.jpg
p-club-room-b-student-05,MIRS,학생회관,MIRS.jpg,https://thingo.kr/static/images/map/p-club-room-b-student-05.jpg
p-club-room-b-student-06,RCY,학생회관,RCY.jpg,https://thingo.kr/static/images/map/p-club-room-b-student-06.jpg
p-club-room-b-student-07,그림패시만화,학생회관,그림패시만화.jpg,https://thingo.kr/static/images/map/p-club-room-b-student-07.jpg
p-club-room-b-student-08,농어민후생연구회 흙,학생회관,농어민후생연구회 흙.jpg,https://thingo.kr/static/images/map/p-club-room-b-student-08.jpg
p-club-room-b-student-09,코아,학생회관,코아.jpg,https://thingo.kr/static/images/map/p-club-room-b-student-09.jpg
p-club-room-b-student-10,너나들이,학생회관,너나들이.jpg,https://thingo.kr/static/images/map/p-club-room-b-student-10.jpg
p-club-room-b-student-11,극예술연구회 알,학생회관,극예술연구회 알.jpg,https://thingo.kr/static/images/map/p-club-room-b-student-11.jpg
p-club-room-b-student-12,명지서법연구회,학생회관,명지서법연구회.jpg,https://thingo.kr/static/images/map/p-club-room-b-student-12.jpg
p-club-room-b-student-13,명지챌린저스,학생회관,명지챌린저스.jpg,https://thingo.kr/static/images/map/p-club-room-b-student-13.jpg
